ID	RollNo	Name	Course	Dept	Age	Attendence	Total	Percentage	 Grade
153	R1153	Anjali Nair	Electronics	Data	23	64	376	75.2	B
154	R1154	Karan Singh	Mechanical Engineering	Core	18	75	285	57	C
155	R1155	Sneha Patel	Electronics	Engineering	25	83	346	69.2	B
156	R1156	Anjali Singh	Artificial Intelligence	IT	18	93	395	79	B
157	R1157	Rohan Sharma	Mechanical Engineering	IT	25	86	383	76.6	B
158	R1158	Sneha Mehta	Artificial Intelligence	IT	22	82	282	56.4	C
159	R1159	Sneha Singh	Electronics	Core	25	92	349	69.8	B
160	R1160	Neha Kulkarni	Electronics	Data	19	73	409	81.8	B
161	R1161	Sneha Gupta	Data Science	Engineering	20	60	308	61.6	B
162	R1162	Priya Sharma	Computer Science	AI	24	76	300	60	B
163	R1163	Karan Desai	Mechanical Engineering	IT	20	68	312	62.4	B
164	R1164	Anjali Kulkarni	Electronics	Data	24	97	308	61.6	B
165	R1165	Arjun Desai	Mechanical Engineering	Data	22	93	303	60.6	B
166	R1166	Neha Joshi	Mechanical Engineering	AI	18	65	367	73.4	B
167	R1167	Sneha Verma	Data Science	Engineering	19	68	393	78.6	B
168	R1168	Rohan Patel	Computer Science	Data	25	92	331	66.2	B
169	R1169	Arjun Verma	Computer Science	Engineering	21	65	297	59.4	C
170	R1170	Priya Patel	Electronics	Data	21	78	318	63.6	B
171	R1171	Pooja Verma	Data Science	AI	23	72	242	48.4	C
172	R1172	Karan Nair	Information Technology	Core	20	93	324	64.8	B
173	R1173	Anjali Gupta	Computer Science	Core	25	95	380	76	B
174	R1174	Priya Singh	Data Science	IT	25	94	366	73.2	B
175	R1175	Neha Mehta	Data Science	AI	19	100	274	54.8	C
176	R1176	Sneha Patel	Computer Science	Engineering	25	65	292	58.4	C
177	R1177	Rahul Mehta	Mechanical Engineering	IT	18	62	231	46.2	C
178	R1178	Priya Mehta	Computer Science	IT	18	63	264	52.8	C
179	R1179	Amit Verma	Information Technology	Core	25	100	302	60.4	B
180	R1180	Rahul Mehta	Information Technology	IT	21	70	315	63	B
181	R1181	Amit Kulkarni	Artificial Intelligence	Engineering	20	85	270	54	C
182	R1182	Pooja Joshi	Mechanical Engineering	Core	20	86	322	64.4	B
183	R1183	Arjun Verma	Electronics	Core	21	98	330	66	B
184	R1184	Priya Joshi	Computer Science	Core	21	65	283	56.6	C
185	R1185	Pooja Desai	Electronics	Data	23	70	345	69	B
186	R1186	Pooja Kulkarni	Electronics	AI	22	82	327	65.4	B
187	R1187	Arjun Singh	Mechanical Engineering	IT	21	64	364	72.8	B
188	R1188	Arjun Sharma	Information Technology	Engineering	18	72	333	66.6	B
189	R1189	Arjun Gupta	Data Science	Engineering	25	62	341	68.2	B
190	R1190	Priya Nair	Mechanical Engineering	Engineering	19	92	352	70.4	B
191	R1191	Rahul Nair	Information Technology	Core	20	65	331	66.2	B
192	R1192	Rohan Sharma	Computer Science	Engineering	19	60	349	69.8	B
193	R1193	Neha Mehta	Computer Science	Engineering	22	82	408	81.6	B
194	R1194	Amit Joshi	Data Science	IT	21	64	310	62	B
195	R1195	Anjali Singh	Data Science	IT	19	91	366	73.2	B
196	R1196	Pooja Sharma	Information Technology	IT	19	85	370	74	B
197	R1197	Rohan Desai	Computer Science	Core	20	60	344	68.8	B
198	R1198	Pooja Kulkarni	Artificial Intelligence	Data	25	67	365	73	B
199	R1199	Rahul Singh	Computer Science	Core	22	64	315	63	B
200	R1200	Rahul Joshi	Data Science	Data	22	89	282	56.4	C
201	R1201	Sneha Sharma	Data Science	IT	21	92	313	62.6	B
202	R1202	Amit Desai	Electronics	Core	25	66	355	71	B
203	R1203	Amit Nair	Information Technology	Engineering	23	73	366	73.2	B
204	R1204	Anjali Gupta	Electronics	IT	19	78	313	62.6	B
205	R1205	Arjun Nair	Data Science	Core	19	60	264	52.8	C
206	R1206	Amit Verma	Electronics	IT	23	60	339	67.8	B
207	R1207	Rohan Verma	Information Technology	Data	23	99	362	72.4	B
208	R1208	Rahul Sharma	Information Technology	AI	24	72	241	48.2	C
209	R1209	Rahul Nair	Data Science	IT	23	88	320	64	B
210	R1210	Amit Singh	Artificial Intelligence	Engineering	23	88	327	65.4	B
211	R1211	Arjun Sharma	Artificial Intelligence	AI	18	71	292	58.4	C
212	R1212	Karan Joshi	Mechanical Engineering	Data	19	100	384	76.8	B
213	R1213	Sneha Verma	Artificial Intelligence	Core	25	76	406	81.2	B
214	R1214	Anjali Nair	Artificial Intelligence	Data	22	72	337	67.4	B
215	R1215	Pooja Nair	Data Science	Data	23	69	317	63.4	B
216	R1216	Arjun Verma	Artificial Intelligence	Core	22	91	344	68.8	B
217	R1217	Anjali Singh	Electronics	AI	22	68	439	87.8	A
218	R1218	Priya Joshi	Mechanical Engineering	Data	21	98	294	58.8	C
219	R1219	Anjali Singh	Data Science	Core	20	85	389	77.8	B
220	R1220	Rahul Nair	Information Technology	Engineering	22	60	369	73.8	B
221	R1221	Priya Verma	Mechanical Engineering	Core	22	96	399	79.8	B
222	R1222	Priya Desai	Artificial Intelligence	AI	19	68	368	73.6	B
223	R1223	Arjun Singh	Data Science	IT	25	100	452	90.4	A
224	R1224	Anjali Mehta	Artificial Intelligence	Engineering	22	81	317	63.4	B
225	R1225	Priya Mehta	Artificial Intelligence	IT	25	95	335	67	B
226	R1226	Sneha Gupta	Data Science	Data	18	79	305	61	B
227	R1227	Karan Gupta	Information Technology	IT	19	89	411	82.2	B
228	R1228	Rahul Gupta	Mechanical Engineering	AI	21	68	321	64.2	B
229	R1229	Sneha Joshi	Mechanical Engineering	Engineering	22	85	253	50.6	C
230	R1230	Rahul Patel	Artificial Intelligence	AI	23	95	303	60.6	B
231	R1231	Amit Verma	Information Technology	Core	23	87	359	71.8	B
232	R1232	Amit Sharma	Artificial Intelligence	Engineering	22	100	362	72.4	B
233	R1233	Anjali Verma	Computer Science	AI	25	71	272	54.4	C
234	R1234	Priya Gupta	Information Technology	Core	24	98	328	65.6	B
235	R1235	Anjali Joshi	Data Science	Core	22	99	286	57.2	C
236	R1236	Neha Desai	Artificial Intelligence	Engineering	24	74	363	72.6	B
237	R1237	Rohan Singh	Electronics	IT	19	64	301	60.2	B
238	R1238	Rohan Gupta	Computer Science	Engineering	24	71	422	84.4	B
239	R1239	Rahul Patel	Computer Science	Data	18	67	381	76.2	B
240	R1240	Rohan Mehta	Computer Science	Engineering	23	79	318	63.6	B
241	R1241	Pooja Verma	Mechanical Engineering	Engineering	20	87	350	70	B
242	R1242	Arjun Gupta	Mechanical Engineering	Data	22	81	389	77.8	B
243	R1243	Neha Gupta	Electronics	IT	18	97	352	70.4	B
244	R1244	Sneha Sharma	Electronics	Core	25	94	363	72.6	B
245	R1245	Rahul Verma	Mechanical Engineering	AI	19	65	359	71.8	B
246	R1246	Arjun Kulkarni	Information Technology	IT	21	81	290	58	C
247	R1247	Pooja Mehta	Electronics	Engineering	23	87	393	78.6	B
248	R1248	Rohan Kulkarni	Electronics	Core	25	93	365	73	B
249	R1249	Rahul Patel	Information Technology	Core	23	84	360	72	B
250	R1250	Arjun Singh	Artificial Intelligence	AI	24	73	447	89.4	A
251	R1251	Pooja Patel	Mechanical Engineering	Engineering	19	98	350	70	B
252	R1252	Sneha Desai	Artificial Intelligence	AI	22	92	310	62	B
253	R1253	Sneha Kulkarni	Mechanical Engineering	IT	19	61	291	58.2	C
254	R1254	Arjun Kulkarni	Mechanical Engineering	IT	21	85	341	68.2	B
255	R1255	Arjun Sharma	Computer Science	AI	22	77	334	66.8	B
256	R1256	Karan Desai	Artificial Intelligence	Engineering	23	99	360	72	B
257	R1257	Priya Patel	Mechanical Engineering	Data	22	82	395	79	B
258	R1258	Rohan Mehta	Mechanical Engineering	Data	19	77	298	59.6	C
259	R1259	Sneha Patel	Mechanical Engineering	Engineering	20	62	365	73	B
260	R1260	Priya Gupta	Artificial Intelligence	IT	18	88	326	65.2	B
261	R1261	Rahul Desai	Electronics	AI	20	78	326	65.2	B
262	R1262	Arjun Sharma	Information Technology	IT	23	97	255	51	C
263	R1263	Arjun Sharma	Information Technology	Data	25	64	369	73.8	B
264	R1264	Rahul Gupta	Computer Science	Engineering	21	70	303	60.6	B
265	R1265	Neha Gupta	Computer Science	Core	23	90	372	74.4	B
266	R1266	Rohan Gupta	Artificial Intelligence	IT	21	81	388	77.6	B
267	R1267	Rohan Joshi	Information Technology	Engineering	19	74	295	59	C
268	R1268	Amit Desai	Computer Science	IT	19	66	391	78.2	B
269	R1269	Rohan Verma	Electronics	AI	21	70	268	53.6	C
270	R1270	Rohan Desai	Information Technology	AI	19	90	346	69.2	B
271	R1271	Pooja Mehta	Electronics	Data	18	96	266	53.2	C
272	R1272	Anjali Mehta	Mechanical Engineering	Data	21	93	395	79	B
273	R1273	Amit Joshi	Computer Science	IT	25	87	299	59.8	C
274	R1274	Karan Kulkarni	Data Science	Core	22	68	311	62.2	B
275	R1275	Priya Mehta	Electronics	IT	24	68	356	71.2	B
276	R1276	Anjali Joshi	Mechanical Engineering	AI	20	83	313	62.6	B
277	R1277	Rohan Patel	Data Science	IT	22	67	318	63.6	B
278	R1278	Rohan Nair	Mechanical Engineering	IT	20	68	361	72.2	B
279	R1279	Karan Gupta	Information Technology	Core	20	61	303	60.6	B
280	R1280	Rohan Kulkarni	Mechanical Engineering	AI	25	97	297	59.4	C
281	R1281	Anjali Verma	Information Technology	Engineering	25	74	367	73.4	B
282	R1282	Karan Nair	Electronics	IT	22	61	391	78.2	B
283	R1283	Rahul Joshi	Electronics	AI	25	80	317	63.4	B
284	R1284	Anjali Sharma	Data Science	Data	19	93	268	53.6	C
285	R1285	Sneha Verma	Computer Science	Data	19	88	264	52.8	C
286	R1286	Arjun Mehta	Computer Science	AI	22	67	348	69.6	B
287	R1287	Rahul Singh	Electronics	Data	23	60	399	79.8	B
288	R1288	Arjun Kulkarni	Information Technology	Engineering	22	69	381	76.2	B
289	R1289	Karan Mehta	Data Science	IT	24	72	334	66.8	B
290	R1290	Priya Singh	Computer Science	AI	18	74	315	63	B
291	R1291	Neha Mehta	Electronics	Core	18	82	371	74.2	B
292	R1292	Priya Patel	Electronics	Core	25	67	361	72.2	B
293	R1293	Pooja Joshi	Computer Science	AI	24	94	310	62	B
294	R1294	Rahul Joshi	Data Science	Core	22	66	339	67.8	B
295	R1295	Priya Desai	Information Technology	IT	22	65	274	54.8	C
296	R1296	Rohan Singh	Artificial Intelligence	Data	23	89	336	67.2	B
297	R1297	Priya Gupta	Mechanical Engineering	Engineering	18	71	368	73.6	B
298	R1298	Rahul Sharma	Information Technology	IT	25	93	291	58.2	C
299	R1299	Karan Verma	Information Technology	AI	20	91	400	80	B
300	R1300	Sneha Gupta	Data Science	Engineering	19	60	321	64.2	B
301	R1301	Neha Nair	Electronics	IT	20	96	324	64.8	B
302	R1302	Neha Verma	Computer Science	Engineering	21	65	324	64.8	B
303	R1303	Sneha Nair	Artificial Intelligence	Core	22	89	284	56.8	C
304	R1304	Neha Singh	Data Science	Engineering	22	86	396	79.2	B
305	R1305	Rahul Mehta	Mechanical Engineering	Data	23	91	312	62.4	B
306	R1306	Sneha Gupta	Electronics	Engineering	21	68	425	85	A
307	R1307	Karan Patel	Computer Science	IT	20	99	326	65.2	B
308	R1308	Priya Desai	Information Technology	IT	21	85	396	79.2	B
309	R1309	Neha Sharma	Data Science	IT	18	66	386	77.2	B
310	R1310	Amit Gupta	Data Science	Core	19	73	321	64.2	B
311	R1311	Priya Desai	Information Technology	Core	20	67	338	67.6	B
312	R1312	Sneha Gupta	Mechanical Engineering	IT	25	97	325	65	B
313	R1313	Priya Kulkarni	Computer Science	Core	22	83	280	56	C
314	R1314	Sneha Nair	Electronics	Core	23	98	368	73.6	B
315	R1315	Pooja Verma	Data Science	Data	25	92	330	66	B
316	R1316	Rahul Patel	Computer Science	Core	22	76	338	67.6	B
317	R1317	Rohan Mehta	Data Science	Engineering	25	72	371	74.2	B
318	R1318	Priya Sharma	Mechanical Engineering	Engineering	25	68	334	66.8	B
319	R1319	Neha Sharma	Computer Science	Core	24	84	345	69	B
320	R1320	Amit Joshi	Mechanical Engineering	Data	18	75	247	49.4	C
321	R1321	Anjali Nair	Mechanical Engineering	Data	22	92	355	71	B
322	R1322	Pooja Joshi	Mechanical Engineering	Data	22	71	295	59	C
323	R1323	Karan Desai	Artificial Intelligence	AI	19	77	342	68.4	B
324	R1324	Karan Desai	Artificial Intelligence	IT	23	64	329	65.8	B
325	R1325	Rohan Desai	Artificial Intelligence	Engineering	23	84	334	66.8	B
326	R1326	Rahul Mehta	Information Technology	Core	20	83	420	84	B
327	R1327	Arjun Verma	Information Technology	Engineering	19	90	369	73.8	B
328	R1328	Sneha Gupta	Data Science	Engineering	21	80	344	68.8	B
329	R1329	Neha Nair	Computer Science	IT	21	74	332	66.4	B
330	R1330	Sneha Joshi	Electronics	Engineering	21	87	318	63.6	B
331	R1331	Rahul Mehta	Data Science	IT	20	72	360	72	B
332	R1332	Anjali Gupta	Information Technology	Core	23	81	327	65.4	B
333	R1333	Amit Kulkarni	Information Technology	Data	20	100	345	69	B
334	R1334	Pooja Kulkarni	Electronics	Data	22	89	364	72.8	B
335	R1335	Rahul Singh	Mechanical Engineering	Engineering	18	86	334	66.8	B
336	R1336	Amit Kulkarni	Mechanical Engineering	AI	23	93	331	66.2	B
337	R1337	Amit Singh	Computer Science	AI	25	99	387	77.4	B
338	R1338	Rohan Mehta	Information Technology	Data	22	79	288	57.6	C
339	R1339	Karan Patel	Electronics	AI	25	92	325	65	B
340	R1340	Amit Sharma	Mechanical Engineering	AI	23	74	295	59	C
341	R1341	Priya Verma	Artificial Intelligence	Engineering	23	78	306	61.2	B
342	R1342	Rohan Verma	Electronics	AI	22	97	366	73.2	B
343	R1343	Rahul Nair	Data Science	Core	23	88	414	82.8	B
344	R1344	Sneha Verma	Data Science	AI	22	98	343	68.6	B
345	R1345	Arjun Sharma	Computer Science	Engineering	18	83	357	71.4	B
346	R1346	Neha Gupta	Data Science	IT	18	95	361	72.2	B
347	R1347	Priya Nair	Artificial Intelligence	Data	18	99	265	53	C
348	R1348	Rohan Joshi	Mechanical Engineering	Engineering	23	60	317	63.4	B
349	R1349	Arjun Sharma	Information Technology	Engineering	18	72	442	88.4	A
350	R1350	Anjali Gupta	Electronics	Engineering	19	94	354	70.8	B
351	R1351	Anjali Nair	Artificial Intelligence	Engineering	22	90	312	62.4	B
352	R1352	Rohan Mehta	Mechanical Engineering	Data	18	80	434	86.8	A
353	R1353	Pooja Mehta	Mechanical Engineering	IT	21	62	294	58.8	C
354	R1354	Priya Nair	Mechanical Engineering	AI	20	62	348	69.6	B
355	R1355	Pooja Joshi	Computer Science	Engineering	22	96	337	67.4	B
356	R1356	Karan Verma	Computer Science	Engineering	24	82	327	65.4	B
357	R1357	Priya Patel	Information Technology	Core	23	78	291	58.2	C
358	R1358	Arjun Sharma	Electronics	Data	23	70	305	61	B
359	R1359	Pooja Verma	Mechanical Engineering	Data	21	61	370	74	B
360	R1360	Priya Verma	Information Technology	AI	20	64	291	58.2	C
361	R1361	Sneha Kulkarni	Data Science	Data	19	70	323	64.6	B
362	R1362	Pooja Patel	Mechanical Engineering	AI	21	100	317	63.4	B
363	R1363	Arjun Gupta	Information Technology	Core	25	66	330	66	B
364	R1364	Anjali Singh	Computer Science	Data	22	75	342	68.4	B
365	R1365	Priya Sharma	Data Science	Data	25	63	308	61.6	B
366	R1366	Pooja Verma	Data Science	AI	23	75	375	75	B
367	R1367	Arjun Nair	Artificial Intelligence	IT	22	60	308	61.6	B
368	R1368	Rahul Singh	Electronics	IT	21	67	372	74.4	B
369	R1369	Anjali Patel	Information Technology	Data	20	60	358	71.6	B
370	R1370	Rohan Gupta	Data Science	Engineering	21	65	334	66.8	B
371	R1371	Neha Gupta	Information Technology	Core	22	79	343	68.6	B
372	R1372	Sneha Nair	Electronics	IT	18	83	363	72.6	B
373	R1373	Rohan Joshi	Artificial Intelligence	Engineering	21	89	374	74.8	B
374	R1374	Sneha Sharma	Artificial Intelligence	Core	20	76	386	77.2	B
375	R1375	Pooja Singh	Computer Science	AI	21	100	298	59.6	C
376	R1376	Arjun Nair	Mechanical Engineering	AI	20	64	282	56.4	C
377	R1377	Priya Mehta	Mechanical Engineering	Core	21	87	379	75.8	B
378	R1378	Rohan Patel	Data Science	Engineering	19	80	327	65.4	B
379	R1379	Sneha Desai	Data Science	Data	19	94	258	51.6	C
380	R1380	Priya Desai	Computer Science	Core	22	99	310	62	B
381	R1381	Pooja Sharma	Electronics	AI	25	89	285	57	C
382	R1382	Anjali Joshi	Information Technology	Engineering	23	98	391	78.2	B
383	R1383	Pooja Gupta	Information Technology	Core	21	86	285	57	C
